68352,68219,137,68356,67356,0,67356,67356
69632,69503,133,69636,68661,0,68661,68661
70912,70762,169,70931,69884,0,69884,69884
72192,72054,142,72196,71188,0,71188,71188
72704,72559,147,72706,71680,0,71680,71680
75008,74878,137,75015,73939,0,73939,73939
76032,75877,165,76042,74937,0,74937,74937
77568,77435,141,77576,76492,0,76492,76492
78848,78670,187,78857,77704,0,77704,77704
80384,80214,178,80392,79232,0,79232,79232
81920,81809,115,81924,80796,0,80796,80796
83200,83048,159,83207,82058,0,82058,82058
84224,84065,174,84239,83035,0,83035,83035
86016,85855,170,86025,84808,0,84808,84808
87808,87679,134,87813,86627,0,86627,86627
89344,89176,179,89355,88103,0,88103,88103
90880,90729,160,90889,89616,0,89616,89616
92416,92272,149,92421,91129,0,91129,91129
94208,94017,203,94220,92853,0,92853,92853
95744,95589,163,95752,94418,0,94418,94418
97024,96875,160,97035,95679,0,95679,95679
99328,99140,196,99336,97903,0,97903,97903
100864,100616,263,100879,99407,0,99407,99407
102144,101945,211,102156,100685,0,100685,100685
104448,104237,223,104460,102932,0,102932,102932
105984,105779,216,105995,104469,0,104469,104469
105472,105269,214,105483,103999,0,103999,103999
110080,109912,174,110086,108544,0,108544,108544
112128,111929,213,112142,110575,0,110575,110575
114176,113963,220,114183,112555,0,112555,112555
115968,115763,215,115978,114335,0,114335,114335
117760,117548,223,117771,116098,0,116098,116098
120320,120124,209,120333,118635,0,118635,118635
122368,122155,229,122384,120695,0,120695,120695
124416,124169,258,124427,122686,0,122686,122686
126720,126500,236,126736,124967,0,124967,124967
128000,127728,282,128010,126134,0,126134,126134
131072,130840,248,131088,129223,0,129223,129223
131840,131577,272,131849,129986,0,129986,129986
135168,134891,290,135181,133242,0,133242,133242
137728,137510,227,137737,135809,0,135809,135809
140544,140277,276,140553,138550,0,138550,138550
143104,142856,265,143121,141090,0,141090,141090
145664,145419,258,145677,143635,0,143635,143635
147712,147447,273,147720,145636,0,145636,145636
150784,150468,335,150803,148604,0,148604,148604
153344,153046,320,153366,151177,0,151177,151177
155392,155118,294,155412,153189,0,153189,153189
158720,158437,305,158742,156507,0,156507,156507
161536,161277,276,161553,159296,0,159296,159296
163840,163549,307,163856,161524,0,161524,161524
167168,166856,330,167186,164812,0,164812,164812
170752,170460,308,170768,168336,0,168336,168336
173056,172713,361,173074,170560,0,170560,170560
176128,175768,381,176149,173630,0,173630,173630
178688,178340,369,178709,176174,0,176174,176174
182528,182178,379,182557,179891,0,179891,179891
185600,185276,340,185616,182966,0,182966,182966
188416,188065,368,188433,185768,0,185768,185768
192000,191657,364,192021,189276,0,189276,189276
195584,195238,366,195604,192820,0,192820,192820
198912,198583,357,198940,196145,0,196145,196145
202496,202199,314,202513,199674,0,199674,199674
205824,205476,369,205845,202969,0,202969,202969
209408,209003,426,209429,206484,0,206484,206484
213504,213075,451,213526,210447,0,210447,210447
216320,215939,405,216344,213303,0,213303,213303
220672,220229,468,220697,217539,0,217539,217539
224000,223590,439,224029,220828,0,220828,220828
228096,227701,412,228113,224936,0,224936,224936
231936,231477,485,231962,228647,0,228647,228647
236288,235897,419,236316,232971,0,232971,232971
240128,239731,415,240146,236791,0,236791,236791
244224,243747,502,244249,240712,0,240712,240712
248576,248139,463,248602,245026,0,245026,245026
252928,252502,452,252954,249361,0,249361,249361
257792,257413,400,257813,254252,183,254435,254065
261888,261379,547,261926,258217,0,258217,258217
266752,266310,468,266778,263069,0,263069,263069
271104,270572,557,271129,267243,0,267243,267243
275456,275024,451,275475,271665,233,271898,271427
280576,280053,554,280607,276610,0,276610,276610
285184,284639,574,285213,281145,0,281145,281145
290304,289789,536,290325,286237,0,286237,286237
295424,294908,545,295453,291201,0,291201,291201
300544,300015,554,300569,296290,0,296290,296290
305408,304772,676,305448,301067,0,301067,301067
310784,310205,616,310821,306372,0,306372,306372
315648,315065,618,315683,311191,0,311191,311191
321024,320474,579,321053,316559,0,316559,316559
327168,326612,589,327201,322581,216,322797,322361
332544,331943,631,332574,327895,0,327895,327895
337920,337376,576,337952,333306,0,333306,333306
344320,343757,593,344350,339576,0,339576,339576
349696,349032,709,349741,344714,0,344714,344714
355840,355238,649,355887,350854,0,350854,350854
360960,360266,733,360999,355802,0,355802,355802
368128,367422,764,368186,362866,211,363077,362650
374016,373316,734,374050,368755,114,368869,368638
381952,381245,738,381983,376509,0,376509,376509
386816,386129,736,386865,381283,0,381283,381283
393984,393295,725,394020,388497,0,388497,388497
400128,399383,777,400160,394490,0,394490,394490
407296,406603,746,407349,401606,0,401606,401606
415232,414479,797,415276,409391,0,409391,409391
421120,420391,766,421157,415227,0,415227,415227
428544,427786,804,428590,422477,228,422705,422245
435456,434685,811,435496,429293,211,429504,429078
442880,442136,787,442923,436705,160,436865,436541
449536,448681,907,449588,443173,220,443393,442949
458752,457880,916,458796,452341,0,452341,452341
464896,463997,948,464945,458333,234,458567,458094
474624,473710,972,474682,467856,213,468069,467638
481024,480187,880,481067,474272,448,474720,473815
488192,487382,846,488228,481412,0,481412,481412
498176,497263,968,498231,491144,38,491182,491104
507904,506972,996,507968,500707,0,500707,500707
514560,513797,814,514611,507381,0,507381,507381
522752,521851,953,522804,515472,57,515529,515412
531712,530742,1024,531766,524229,286,524515,523935
540416,539416,1067,540483,532846,0,532846,532846
550912,549707,1251,550958,542912,1002,543914,541888
559360,558414,998,559412,551630,177,551807,551448
569088,568006,1145,569151,560954,272,561226,560675
577792,576798,1062,577860,569667,0,569667,569667
587264,586224,1089,587313,578989,64,579053,578923
597504,596454,1119,597573,589110,155,589265,588953
607488,606426,1121,607547,598938,98,599036,598839
615168,614088,1134,615222,606517,76,606593,606437
626432,625300,1198,626498,617576,573,618149,616988
639488,638411,1142,639553,630602,186,630788,630411
647680,646522,1219,647741,638574,868,639442,637684
657152,655924,1286,657210,647862,390,648252,647463
669952,668757,1267,670024,660501,228,660729,660267
679936,678739,1262,680001,670479,533,671012,669933
692224,690888,1418,692306,682310,831,683141,681460
703744,702541,1269,703810,693870,705,694575,693147
714752,713466,1349,714815,704749,562,705311,704174
725760,724390,1448,725838,715543,633,716176,714894
739840,738448,1465,739913,729383,400,729783,728973
750592,748995,1671,750666,739642,1956,741598,737648
764672,763021,1725,764746,753574,1410,754984,752132
774656,773114,1638,774752,763538,1528,765066,761978
786944,785566,1446,787012,775919,245,776164,775666
800256,798835,1505,800340,789067,1087,790154,787949
811264,809526,1826,811352,799501,1885,801386,797580
826112,824610,1592,826202,814440,425,814865,814001
838912,837475,1536,839011,827159,882,828041,826251
852480,850766,1800,852566,840348,726,841074,839603
866304,864489,1912,866401,853800,2699,856499,851040
878848,877199,1724,878923,866487,1155,867642,865305
894720,892756,2044,894800,881539,2647,884186,878833
905984,904085,2011,906096,892959,3161,896120,889729
921856,920186,1758,921944,908908,2065,910973,906788
933120,931406,1811,933217,919924,1662,921586,918226
950784,948852,2022,950874,937126,1706,938832,935377
966144,964323,1910,966233,952437,905,953342,951514
980224,977872,2454,980326,965783,3381,969164,962325
998400,996445,2075,998520,984142,1456,985598,982647
1011968,1010144,1954,1012098,997619,1776,999395,995799
1029120,1027171,2049,1029220,1014430,1948,1016378,1012432
1045504,1043670,1939,1045609,1030880,1842,1032722,1028994
1060864,1058719,2265,1060984,1045700,2379,1048079,1043270
1077248,1075171,2191,1077362,1062024,2364,1064388,1059602
1093888,1091594,2419,1094013,1078065,3693,1081758,1074282
1111808,1109721,2205,1111926,1096091,3536,1099627,1092473
1123328,1121105,2353,1123458,1107356,3237,1110593,1104047
1145856,1143926,2037,1145963,1129881,2792,1132673,1127021
1163776,1161374,2527,1163901,1147114,3620,1150734,1143355
1182464,1180205,2397,1182602,1165702,1528,1167230,1164136
1197824,1195504,2440,1197944,1180933,4545,1185478,1176223
1217536,1215309,2362,1217671,1200258,2912,1203170,1197274
1236224,1232505,3853,1236358,1217142,7059,1224201,1209936
1254400,1251397,3126,1254523,1235815,5549,1241364,1230147
1279744,1277265,2615,1279880,1261572,3193,1264765,1258301
1292032,1289552,2617,1292169,1273713,3381,1277094,1270249
1312000,1309458,2685,1312143,1293432,4406,1297838,1288898
1331456,1328065,3519,1331584,1311565,5137,1316702,1306323
1350656,1348049,2745,1350794,1331405,3035,1334440,1328284
1371904,1369380,2665,1372045,1352297,4849,1357146,1347323
1389568,1386614,3112,1389726,1369441,7873,1377314,1361368
1412864,1410093,2919,1413012,1392640,7549,1400189,1384892
1431040,1428286,2900,1431186,1410608,4672,1415280,1405820
1456640,1453358,3171,1456529,1435445,8668,1444113,1426506
1474304,1471093,3354,1474447,1452933,9083,1462016,1443617
1494784,1491884,3064,1494948,1473477,10463,1483940,1462690
1520384,1517364,3174,1520538,1498676,5830,1504506,1492682
1540096,1537170,3099,1540269,1518073,6733,1524806,1511147
1565184,1561899,3433,1565332,1542719,7473,1550192,1535048
1583616,1580426,3345,1583771,1560852,12680,1573532,1547749
1609216,1605906,3369,1609275,1586091,11379,1597470,1574276
1634304,1631271,3188,1634459,1611067,10465,1621532,1600256
1661952,1658590,3561,1662151,1638021,15554,1653575,1621167
1679104,1675786,3485,1679271,1655141,6757,1661898,1642128
1707264,1704099,3345,1707444,1683134,16916,1700050,1638289
1722624,1719102,3722,1722824,1697827,13913,1711740,1642628
